ordertypeid,name,validated_cpt_code
348765,peritoneal dialysis catheter assessment referral,99213
348766,av fistula assessment referral,99203
348912,eating disorder therapy referral,90837
349254,clinical review board referral,99221
349294,imaging interpretation consult,99283
349321,lifelink referral,99213
349443,cerebral palsy clinic referral,99213
349523,hormone imbalance referral,97602
349921,home footcare,97602
350430,gestational diabetes education referral,99215
350542,SDoH referral: Meals on Wheels program,99213
350562,urgent care center referral,99213
350563,urgent care center transfer,99281
350906,home modifications contractor referral,99213
350907,bathroom modification referral,97110
351414,craniofacial referral,99203
351632,functional assessment referral,97116
352031,behavioral health coaching referral,97156
353402,infusion referral new patient,99202
353403,infusion referral treatment change,99213
353985,facial plastic surgeon referral,99203
354340,surgical epilepsy clinic referral,99215
354650,pediatric neuropsychology referral,99215
354651,residential treatment facility referral,99213
354922,ostomy care referral,99213
355224,tai chi referral,97112
355348,balance training referral,97112
355368,driving evaluation referral,97112
355622,structured intensive multidisciplinary program referral,99487
355623,interventional pain medicine specialist referral,97602
356308,transition pediatric to adult care referral,99213
356319,telehealth video consult,99213
356392,provider/provider telehealth consult,99221
356393,provider/provider/patient telehealth consult,99213
377366,vagus nerve stimulation implant referral,97602
377437,eye care referral,99213
377741,foot/ankle referral,99213
377805,pulmonary transplant referral,99213
377941,motion/gait analysis,97602
378072,behavioral health referral,90792
378286,tracheostomy/ventilator clinic referral,99213
378288,cystic fibrosis clinic referral,99050
385921,remote care management referral,99213
386571,pre-op spine program,99215
386663,blood draw referral,99203
386818,intense cardiac rehab referral,99213
386841,endodontist referral,99202
386899,mid-level referral,99213
387009,hot tub referral,97140
387547,neuro-oncology referral,99213
387599,physical performance evaluation referral,99215
387626,oncology case management referral,99213
387636,infant development referral,99401
387727,autonomic dysfunction referral,99213
387728,brace referral,97602
387730,serial casting referral,97034
387933,ayurveda referral,97112
388164,population health referral,99213
388341,CIED remote monitoring,99213
388543,lice treatment referral,99213
388590,health partner referral,99213
388780,education assistance referral,99417
388782,weight management referral,97110
389108,pediatric bariatric medicine referral,99215
389683,pediatric neurosurgery referral,97605
390531,allergist referral,99213
390851,exercise physiologist referral,97610
390903,clinical sleep educator,99215
390969,structural heart clinic referral,99203
391061,comprehensive child and family therapy referral,97156
391063,hepatitis clinic referral,99347
391077,preparing for surgery class,99213
391311,group counseling referral,97156
391637,medication management referral,99213
391650,walk-in clinic,99213
391652,mobility referral,97610
391876,osteopathic manipulation referral,97140
391960,lung transplant referral,99213
391971,breastfeeding clinic referral,99203
393123,diet/nutrition education referral,97610
393393,peritoneal dialysis catheter placement referral,99203
394069,comprehensive vestibular diagnostic evaluation referral,92570
394132,vocational rehabilitation services referral,97110
395504,free/reduced care referral,99213
395815,intensive outpatient therapy program referral,97150
396128,Vascular Anomalies Referral,99203
396307,senior services provider referral,99203
396567,lifestyle management referral,99406
396568,cognitive behavioral therapy referral,90837
396747,bone health referral,97602
397177,bariatric surgery referral,99213
398389,Worker's Comp Attendant and Custodial Care Referral,99213
398537,cardiovascular genetics referral,95990
399601,hypertension clinic referral,99213
399638,financial counseling referral,99203
399772,group home referral,99213
399773,foster care agency referral,99203
400532,behavior analysis referral,99213
400534,transgender health referral,97140
400535,advance care planning facilitator referral,99456
400624,Aerodigestive Clinic Referral,99213
401010,liver transplant referral,99213
401370,referral - prescription monitoring,99203
408067,pediatric audiologist referral,92557
408309,literacy program referral,92507
408394,pediatric sleep medicine referral,99215
408395,obesity counseling referral,97167
409459,orthosis referral,97602
409567,post-exposure evaluation,99213
409630,diabetic nutrition education referral,99213
409720,adult congenital heart disease clinic referral,97605
410346,mental health clinic referral,99213
410348,pediatric language skills education referral,96125
410547,laser eye surgery referral,99204
410747,bladder clinic referral,99214
410888,patient-centered medical home referral,99213
410941,health home referral,99213
410942,pediatric health home referral,99215
410943,pediatric home health referral,99213
421457,continuity of care referral,99213
421490,diabetic treatment center referral,99215
421582,vestibular disorder referral,99213
421690,language therapy referral,92542
421704,supervised exercise therapy referral,97110
421846,restorative dental referral,99203
421949,peripheral artery disease rehabilitation referral,97610
422036,foot care referral,99213
422093,telemedicine consult,99213
422315,prescribed pediatric extended care,99215
422328,CLINICAL HEALTH PSYCHOLOGY/PAIN PSYCHOLOGY REFERRAL,90837
422377,cardio-oncology referral,99213
423096,home health: wound care nurse referral,99213
423128,Physics Consult for Interoperative Radiation Therapy,97602
423191,In Vitro Fertilization Consult,97112
423192,COPD Education Referral,99213
423424,Environmental clinic referral,99213
423566,adult substance abuse intensive outpatient treatment referral,90792
423567,child substance abuse intensive outpatient treatment referral,99213
423569,child crisis stabilization referral,99215
423570,adult substance abuse group referral,90839
423571,child substance abuse group referral,99395
423572,adult crisis stabilization after care group referral,99223
423632,Pulmonary nodule clinic referral,99204
423648,medication referral,99213
424040,ocular oncology referral,99203
424043,wellness and risk reduction program referral,99291
424082,diabetes self-management education and support referral,99406
424190,psychosocial rehabilitation referral,97150
424335,nursing consult,99221
424980,partial hospital program referral,99213
426162,lipidology referral,99203
426257,Ryan White program referral,99202
426499,endovascular referral,99214
426500,vascular referral,97602
426677,infectious disease clinic referral,99204
427065,referral to maternity services,99221
427137,physiotherapy referral,97110
427307,ENT surgery referral,99213
427662,referral to play therapy,97156
427916,certified nurse midwife referral,99213
428396,breast health navigator referral,99203
429122,sexual medicine referral,99213
430104,mobile care nursing services referral,99213
430498,art therapist referral,97150
438927,intermediate care facility referral,99213
438928,custodial care facility referral,99213
439020,community health worker referral,99203
439155,nutritionist referral,99213
439646,female pelvic medicine & reconstructive surgeon referral,99213
439685,SDoH referral: adult day care center,99213
439686,athletic trainer referral,97602
439687,behavior analyst referral,96127
439688,behavioral health counselor referral,90792
439689,case manager/care coordinator referral,99213
439690,child substance use treatment facility referral,99213
439691,clinical child & adolescent psychologist referral,97156
439692,clinical health psychologist referral,97124
439693,cognitive & behavioral psychologist referral,90792
439694,developmental behavioral pediatrics referral,99213
439695,exercise & sports psychologist referral,97150
439696,health educator referral,99483
439697,in home supportive care provider referral,99213
439698,independent medical examiner referral,99215
439699,lactation consultant referral,99203
439700,massage therapist referral,97140
439702,multi-specialty clinic referral,99213
439703,naprapath referral,99213
439705,occupational environmental medicine referral,99203
439706,"occupational therapist, ergonomics referral",97110
439707,"occupational therapist, feeding, eating & swallowing referral",97110
439709,"occupational therapist, neurorehabilitation referral",97112
439710,ophthalmic plastic and reconstructive surgeon referral,99203
439711,"ophthalmology, cornea and external diseases specialist referral",99213
439712,"ophthalmology, glaucoma specialist referral",99213
439713,oral & maxillofacial surgeon referral,99213
439714,orthopedic physical therapist referral,97110
439715,pain medicine specialist referral,97602
439717,pediatric orthopedic surgeon referral,99213
439718,"physical therapist, cardiopulmonary referral",97602
439719,plastic and reconstructive surgeon referral,99203
439721,psychoanalyst referral,90837
439722,"psychologist, counselor referral",90791
