ordertypeid,name,cpt_code,work_rvu,non_fac_pe_rvu,fac_pe_rvu,mp_rvu
273838,laser hair removal referral,17000,0.61,1.39,1.0,0.05
273839,esthetician referral,99203,1.6,1.61,0.69,0.16
273865,vestibular therapy referral,97112,0.5,0.48,0.48,0.01
274477,laser tattoo removal referral,17000,0.61,1.39,1.0,0.05
274478,DME evaluation referral,99211,0.18,0.51,0.07,0.01
274618,burn referral,99213,1.3,1.35,0.57,0.1
274619,enterostomy referral,97602,0.0,0.0,0.0,0.0
274681,medical nutrition therapy referral,97602,0.0,0.0,0.0,0.0
275234,genetic counselor referral,99000,0.0,0.0,0.0,0.0
275236,labor and delivery referral,59400,37.0,25.76,25.76,10.06
275472,HBTS home based therapeutic services,97140,0.43,0.4,0.4,0.01
275473,pass personal assistance services & support,97156,0.0,0.0,0.0,0.0
275687,UCSF hair clinic referral,99213,1.3,1.35,0.57,0.1
275688,UCSF environmental derm referral,99213,1.3,1.35,0.57,0.1
275802,bariatric medicine referral,99213,1.3,1.35,0.57,0.1
275855,insulin pump referral,99213,1.3,1.35,0.57,0.1
275895,pediatric craniofacial reconstruction referral,99205,3.5,2.83,1.59,0.34
275896,pediatric dentist referral,99213,1.3,1.35,0.57,0.1
275897,pediatric endocrinologist referral,99213,1.3,1.35,0.57,0.1
275898,pediatric gastroenterologist referral,99213,1.3,1.35,0.57,0.1
275899,pediatric genetics referral,95940,0.6,0.32,0.32,0.04
275900,pediatric gynecologist referral,99215,2.8,2.42,1.28,0.21
275901,pediatric hematologist/oncologist referral,99213,1.3,1.35,0.57,0.1
275902,pediatric metabolic genetics referral,99213,1.3,1.35,0.57,0.1
275904,pediatric pulmonologist referral,99213,1.3,1.35,0.57,0.1
275905,pediatric radiologist referral,99203,1.6,1.61,0.69,0.16
276041,orthopedic foot/ankle surgeon referral,99213,1.3,1.35,0.57,0.1
276050,perinatal services consult,99234,2.0,0.74,0.74,0.16
276066,amniocentesis and genetic counseling,99213,1.3,1.35,0.57,0.1
276067,chorionic villi sampling and genetic counseling,99213,1.3,1.35,0.57,0.1
276353,icd check,99213,1.3,1.35,0.57,0.1
276529,neuropsychologist referral,97602,0.0,0.0,0.0,0.0
276541,phototherapy referral,99215,2.8,2.42,1.28,0.21
276658,coumadin clinic referral,99213,1.3,1.35,0.57,0.1
276910,pulmonologist referral,99213,1.3,1.35,0.57,0.1
277090,pulmonary rehab referral,99213,1.3,1.35,0.57,0.1
277101,medical fitness referral,99213,1.3,1.35,0.57,0.1
277102,athlete conditioning referral,99213,1.3,1.35,0.57,0.1
277284,HIV counseling referral,99403,1.46,1.02,0.57,0.08
277580,melanoma/lymphoma clinic referral,99203,1.6,1.61,0.69,0.16
277687,urogynecology physical therapy referral,97602,0.0,0.0,0.0,0.0
277688,sexual medicine/vulvodynia referral,99203,1.6,1.61,0.69,0.16
277956,"blood transfusion, PRBC",99203,1.6,1.61,0.69,0.16
277957,gynecologic surgery referral,99213,1.3,1.35,0.57,0.1
278025,replacement of implantable pulse generator referral,99213,1.3,1.35,0.57,0.1
278114,Pain Medicine,97602,0.0,0.0,0.0,0.0
278441,programming of deep brain stimulator,1999,0.0,0.0,0.0,0.0
278589,visible tumor referral,99203,1.6,1.61,0.69,0.16
278590,pigmented lesion referral,99203,1.6,1.61,0.69,0.16
278591,high risk skin cancer referral,99203,1.6,1.61,0.69,0.16
278592,CKD referral,99203,1.6,1.61,0.69,0.16
279403,central auditory function testing referral,92557,0.6,0.47,0.33,0.02
279404,hearing screening referral,92537,0.6,0.55,0.55,0.02
279404,hearing screening referral,92537,0.0,0.25,0.25,0.01
279404,hearing screening referral,92537,0.6,0.3,0.3,0.01
280140,pediatric urologist referral,99213,1.3,1.35,0.57,0.1
280371,radioiodine I-131 ablation therapy referral,77022,0.0,0.0,0.0,0.0
280371,radioiodine I-131 ablation therapy referral,77022,0.0,0.0,0.0,0.0
280371,radioiodine I-131 ablation therapy referral,77022,4.24,1.44,1.44,0.24
280624,electrodiagnostic specialist referral,99213,1.3,1.35,0.57,0.1
280636,public health services provider referral,99000,0.0,0.0,0.0,0.0
280752,cardiac exercise physiologist referral,99213,1.3,1.35,0.57,0.1
285517,visiting nurse referral,99203,1.6,1.61,0.69,0.16
286517,spine center referral,99213,1.3,1.35,0.57,0.1
286538,overnight pulse oximetry referral,94760,0.0,0.1,0.1,0.01
286777,videostroboscopy referral,99213,1.3,1.35,0.57,0.1
288038,hair transplant referral,97140,0.43,0.4,0.4,0.01
288337,orthopedic oncology referral,99213,1.3,1.35,0.57,0.1
288742,medical massage,97140,0.43,0.4,0.4,0.01
289469,pharmacy clinic,99213,1.3,1.35,0.57,0.1
289497,early childhood intervention referral,99406,0.24,0.17,0.09,0.02
289498,child study center referral,99215,2.8,2.42,1.28,0.21
289620,nerve conduction referral,95810,2.5,16.07,16.07,0.24
289620,nerve conduction referral,95810,0.0,15.18,15.18,0.16
289620,nerve conduction referral,95810,2.5,0.89,0.89,0.08
289663,pediatric infectious disease referral,99203,1.6,1.61,0.69,0.16
289664,pediatric nephrologist referral,99203,1.6,1.61,0.69,0.16
289665,pediatric orthopedic referral,97602,0.0,0.0,0.0,0.0
289666,pediatric plastic surgery referral,99213,1.3,1.35,0.57,0.1
289667,auditory brainstem response referral,92597,1.26,0.9,0.9,0.04
289677,substance abuse rehabilitation referral,90792,4.16,1.49,0.74,0.16
289818,development evaluation referral,97110,0.45,0.43,0.43,0.01
289868,day medicine referral,99213,1.3,1.35,0.57,0.1
290258,home visiting referral,99213,1.3,1.35,0.57,0.1
290537,vitalstim therapy referral,97112,0.5,0.48,0.48,0.01
291900,transplant referral,99204,2.6,2.21,1.15,0.24
292881,neurocognitive referral,92507,1.3,0.99,0.99,0.03
292882,pre-op anesthesia evaluation,99215,2.8,2.42,1.28,0.21
293060,CKD IV-iron referral,99203,1.6,1.61,0.69,0.16
293061,CKD esa referral,99203,1.6,1.61,0.69,0.16
293064,help me grow referral,97110,0.45,0.43,0.43,0.01
293068,EGD referral,45330,0.84,4.6,0.74,0.13
293197,naturopath referral,99203,1.6,1.61,0.69,0.16
293198,plan of care referral,99215,2.8,2.42,1.28,0.21
293253,telephone counseling for smoking cessation,97802,0.53,0.56,0.43,0.01
293639,vein specialist referral,97602,0.0,0.0,0.0,0.0
293765,procedure clinic,99213,1.3,1.35,0.57,0.1
293787,dialysis education referral,99213,1.3,1.35,0.57,0.1
293788,authorization request,99203,1.6,1.61,0.69,0.16
293990,patient navigator referral,99203,1.6,1.61,0.69,0.16
